"","player_api_id","player_name","no_of_appearences","overall_rating","gk_rating","no_of_leagues"
"128",158861,"Adam Sarota",17,68,139,1
"129",160447,"Adam Smith",11,70,47,1
"130",36774,"Adam Szalai",94,77,117,1
"131",243068,"Adam Taggart",3,68,65,1
"132",71359,"Adam Vass",6,68,133,1
"133",495942,"Adam Waszkiewicz",14,52,48,1
"134",287224,"Adama Ba",3,66,53,1
"135",26136,"Adama Coulibaly",109,78,129,1
"136",164360,"Adama Francois",43,67,125,1
"137",357881,"Adama Soumaoro",21,68,54,1
"138",181211,"Adama Traore",38,75,133,2
"139",533212,"Adama Traore",5,68,50,1
"140",103866,"Adamo Coulibaly",21,73,42,1
"141",47394,"Adel Taarabt",46,80,135,2
"142",155738,"Adem Ljajic",85,81,137,1
"143",361710,"Aderlan Santos",82,80,56,2
"144",568920,"Aderlan",30,67,53,1
"145",45816,"Adil Auassar",91,66,126,1
"146",37249,"Adil Chihi",23,73,124,1
"147",40012,"Adil Hermach",54,71,132,1
"148",77741,"Adil Rami",224,84,136,3
"149",38612,"Adil Ramzi",25,67,47,1
"150",164115,"Adilson",8,68,60,1
"151",276701,"Adis Jahovic",5,70,56,1
"152",131409,"Adlene Guedioura",21,71,131,2
"153",116788,"Admir Aganovic",11,61,55,2
"154",132844,"Admir Mehmedi",112,77,108,2
"155",45815,"Adnan Alisic",3,61,45,1
"156",39875,"Adnan Custovic",31,69,134,1
"157",449241,"Adnan Januzaj",12,75,55,1
"158",43049,"Adnan Mravac",37,68,123,1
"159",261599,"Adnane Tighadouini",38,74,48,2
"160",154950,"Adrian Basta",39,65,62,1
"161",182107,"Adrian Blad",6,62,102,1
"162",121643,"Adrian Chomiuk",17,52,101,1
"163",102572,"Adrian Colunga",101,76,121,1
"164",43348,"Adrian Cristea",2,65,47,1
"165",113604,"Adrian Daniel Calello",6,61,56,1
"166",482331,"Adrian Embarba",27,73,50,1
"167",40501,"Adrian Gonzalez",124,73,137,1
"168",178574,"Adrian Gunino",50,69,144,2
"169",78537,"Adrian Klepczynski",70,62,53,1
"170",45744,"Adrian Lopez",133,81,126,2
"171",23358,"Adrian Mariappa",63,73,119,1
"172",571685,"Adrian Marin",7,72,53,1
"173",105526,"Adrian Mrowiec",61,64,133,2
"174",39311,"Adrian Mutu",104,85,100,2
"175",112976,"Adrian Nikci",37,68,128,2
"176",116881,"Adrian Paluchowski",5,61,117,1
"177",239253,"Adrian Rakowski",18,63,41,1
"178",50345,"Adrian Ramos",81,79,102,1
"179",323385,"Adrian Ricardo Centurion",3,74,39,1
"180",42431,"Adrian Ricchiuti",33,75,148,1
"181",183482,"Adrian Sardinero Corpa",1,66,114,1
"182",168047,"Adrian Stoian",4,72,141,1
"183",114790,"Adrian Winter",90,66,121,1
"184",169756,"Adrian",121,78,388,2
"185",167648,"Adriano De Pierro",16,59,130,1
"186",280969,"Adriano Facchini",59,72,363,1
"187",39190,"Adriano Ferreira Pinto",48,75,145,1
"188",172172,"Adriano Jose de Lara",1,65,41,1
"189",39199,"Adriano Pereira da Silva",61,69,126,1
"190",38122,"Adriano Russo",9,68,50,1
"191",121923,"Adriano",1,69,125,1
"192",30690,"Adriano",11,89,118,1
"193",33992,"Adriano",120,79,147,1
"194",41109,"Adriano",8,70,141,1
"195",171737,"Adrien Goni",1,63,132,1
"196",447107,"Adrien Hunou",1,65,44,1
"197",352879,"Adrien Rabiot",45,77,52,1
"198",557353,"Adrien Rawyler",1,50,36,1
"199",188413,"Adrien Regattin",47,77,123,1
"200",40930,"Adrien Silva",119,80,106,1
"201",317062,"Adrien Thomasson",36,73,60,1
"202",242719,"Adrien Trebel",38,74,61,2
"203",263276,"Adryan",21,73,43,2
"204",35608,"Afonso Alves,24",18,84,130,1
"205",361711,"Afonso",43,74,52,1
"206",213366,"Afriyie Acquah",73,74,39,1
"207",441441,"Ager Aketxe",3,74,64,1
"208",118883,"Agim Ibraimi",6,74,54,1
"209",119305,"Agon Mehmeti",15,67,108,2
