"","team_api_id","team_name","buildUp_rating","chance_creation_rating","defense_rating","total_goals"
"66",8682,"Le Mans FC",NA,195,200,79
"67",8689,"FC Lorient",158,180,200,378
"68",9748,"Olympique Lyonnais",161,185,200,497
"69",9941,"Toulouse FC",158,165,140,339
"70",9829,"AS Monaco",168,165,205,287
"71",9847,"Paris Saint-Germain",174,191,210,568
"72",8481,"AS Nancy-Lorraine",146,172,210,203
"73",8639,"LOSC Lille",152,184,180,450
"74",9851,"Stade Rennais FC",167,195,210,367
"75",8592,"Olympique de Marseille",169,210,200,462
"76",9874,"FC Sochaux-Montbéliard",164,184,165,246
"77",9855,"Grenoble Foot 38",NA,195,195,55
"78",9873,"Valenciennes FC",160,188,155,256
"79",9853,"AS Saint-Étienne",165,175,148,371
"80",8588,"RC Lens",165,180,200,107
"81",10249,"Montpellier Hérault SC",162,160,210,344
"82",4170,"US Boulogne Cote D'Opale",NA,165,200,31
"83",108893,"AC Arles-Avignon",156,141,158,21
"84",8521,"Stade Brestois 29",161,168,210,99
"85",8576,"AC Ajaccio",168,180,140,116
"86",4087,"Évian Thonon Gaillard FC",156,180,165,180
"87",9836,"Dijon FCO",154,165,149,38
"88",9837,"Stade de Reims",154,165,140,168
"89",7794,"SC Bastia",174,156,210,165
"90",10242,"ES Troyes AC",148,150,140,71
"91",9747,"En Avant de Guingamp",169,170,145,122
"92",8550,"FC Metz",152,175,150,31
"93",8121,"Angers SCO",159,180,140,40
"94",6391,"GFC Ajaccio",153,179,146,37
"95",9823,"FC Bayern Munich",97,205,184,653
"96",9790,"Hamburger SV",164,200,175,344
"97",8178,"Bayer 04 Leverkusen",157,210,200,483
"98",9789,"Borussia Dortmund",170,194,178,551
"99",10189,"FC Schalke 04",143,195,185,426
"100",9904,"Hannover 96",144,175,210,359
"101",8721,"VfL Wolfsburg",170,210,171,463
"102",8722,"1. FC Köln",171,165,170,226
"103",9810,"Eintracht Frankfurt",153,165,151,296
"104",8177,"Hertha BSC Berlin",175,172,155,238
"105",9912,"DSC Arminia Bielefeld",166,165,138,29
"106",8697,"SV Werder Bremen",174,216,205,423
"107",8398,"FC Energie Cottbus",126,175,206,30
"108",8226,"TSG 1899 Hoffenheim",180,191,200,400
"109",9788,"Borussia Mönchengladbach",116,185,160,403
"110",10269,"VfB Stuttgart",168,200,175,415
"111",8295,"Karlsruher SC",164,205,170,30
"112",9911,"VfL Bochum",164,172,172,72
"113",8358,"SC Freiburg",151,160,158,245
"114",8165,"1. FC Nürnberg",153,180,162,193
"115",9905,"1. FSV Mainz 05",178,185,170,320
"116",8350,"1. FC Kaiserslautern",167,185,210,72
"117",8152,"FC St. Pauli",161,190,185,35
"118",8406,"FC Augsburg",169,188,161,201
"119",8194,"Fortuna Düsseldorf",198,190,169,39
"120",8357,"SpVgg Greuther Fürth",167,170,170,26
"121",9776,"Eintracht Braunschweig",183,195,157,29
"122",8460,"SC Paderborn 07",175,168,145,31
"123",8234,"FC Ingolstadt 04",160,151,140,33
"124",8262,"SV Darmstadt 98",179,174,129,38
"125",8524,"Atalanta",146,170,165,283
"126",8551,"Siena",144,183,160,149
"127",8529,"Cagliari",167,196,187,309
"128",8543,"Lazio",188,220,190,417
"129",8530,"Catania",175,178,147,251
"130",10233,"Genoa",184,182,154,392
"131",8533,"Chievo Verona",187,170,165,285
"132",8690,"Reggio Calabria",163,186,140,30
