,university_name,alumni,award,hici,ns,pub,result.cluster
1088,University of Birmingham,23.5,10.9,22.2,15.4,45.3,1
1089,University of Utah,0,0,30.6,27.6,47.5,1
1090,Nagoya University,0,14.1,18.2,22.3,50,1
1091,University of Freiburg,23.5,20.9,16.6,18.9,37.4,1
1092,Arizona State University - Tempe,0,14.1,24.6,26.1,42.7,1
1093,Lund University,27.6,0,23.4,19.1,50.7,1
1094,University of Iowa,0,0,34,22.2,49.6,1
1095,Tokyo Institute of Technology,15.6,0,22.2,23.9,46.9,1
1096,University of Bonn,18.6,20,14.8,16.9,42.6,1
1097,University of Strasbourg,27.6,22.5,16.6,18.5,32.8,1
1098,Aarhus University,14.4,18.9,7.4,24.3,40.8,3
1099,Baylor College of Medicine,0,0,16.6,32.5,42.9,1
1100,Catholic University of Leuven,0,0,21,16.1,48.5,1
1101,Catholic University of Louvain,13.2,13.6,16.6,12.9,41.5,3
1102,Dartmouth College,22.8,0,21,22.4,32.1,1
1103,Emory University,0,0,28.7,21,48.6,1
1104,Georgia Institute of Technology,15.6,0,24.6,22.3,44.8,1
1105,Ghent University,8.3,15.5,14.8,8.6,49.3,3
1106,Hokkaido University,0,0,16.6,16.6,51.5,1
1107,Mayo Medical School,0,0,25.7,13.7,51.8,1
1108,National University of Singapore,0,0,14.8,12.9,57.3,3
1109,North Carolina State University - Raleigh,0,0,28.7,17.4,43.9,1
1110,Oregon State University,14.4,0,26.7,26.9,37.7,1
1111,Swiss Federal Institute of Technology of Lausanne,0,0,21,17.5,39.9,1
1112,Technion-Israel Institute of Technology,17.6,23.1,14.8,15.1,39.2,3
1113,Tel Aviv University,0,0,24.6,19.1,51.3,1
1114,The University of Georgia,0,0,26.7,19.3,45,1
1115,The University of Glasgow,11.8,0,22.2,17.5,42.1,1
1116,The University of Queensland,15.6,0,14.8,21.8,52.7,1
1117,The University of Western Australia,16.6,14.1,19.6,11.9,39.4,1
1118,Tufts University,17.6,16.7,19.6,16.7,37.9,1
1119,University Libre Bruxelles,20.4,18.9,12.8,13.9,31.4,3
1120,University of Alberta,14.4,0,18.2,16.9,54.5,1
1121,University of Amsterdam,8.3,0,18.2,25.1,48.6,1
1122,"University of California, Riverside",15.6,0,27.7,27.3,35.8,1
1123,"University of California, Santa Cruz",0,0,26.7,29.7,29.3,1
1124,University of Frankfurt,34.3,8.9,19.6,15.5,37.5,1
1125,University of Geneva,27.6,0,21,23.3,35,1
1126,University of Groningen,0,20,14.8,17.5,45.8,1
1127,University of Hamburg,15.6,0,18.2,20,39.2,1
1128,University of Hawaii at Manoa,0,0,26.7,29,35.3,1
1129,University of Illinois at Chicago,0,0,26.7,15,47.4,1
1130,University of Leeds,21.2,0,10.5,26.1,42.2,1
1131,University of Liverpool,22,15.5,12.8,18.2,40.1,3
1132,University of Massachusetts Amherst,16.6,0,33.1,23,37.8,1
1133,University of Massachusetts Medical School - Worcester,0,20,14.8,23.9,28.2,1
1134,University of Milan,21.2,0,18.2,14.1,51,1
1135,University of Muenster,23.5,15.5,12.8,13.7,37.2,3
1136,University of Paris Diderot (Paris 7),17.1,13.8,14.8,19.1,35,1
1137,University of Pisa,17.6,23.6,14.8,5.9,39.3,3
1138,University of Roma - La Sapienza,15.6,15.5,10.5,17.9,52.6,3
1139,University of Sao Paulo,0,0,10.5,13.1,65.3,3
1140,University of Sussex,0,22.8,18.2,17.5,27.9,1
1141,University of Sydney,18.6,0,19.6,16,55.3,1
1142,University of Tsukuba,0,20,12.8,9.9,41,3
1143,University of Tuebingen,27.6,0,16.6,21.2,41.4,1
1144,University of Virginia,0,0,31.4,22.2,45.8,1
1145,University of Wuerzburg,23.5,8.9,23.4,14.1,37.2,1
1146,Weizmann Institute of Science,0,0,24.6,30.7,31.1,1
1147,Cardiff University,0,0,10.5,19.3,42.4,3
1148,Colorado State University,0,0,27.7,15.5,38.9,1
1149,Delft University of Technology,14.4,0,7.4,23.4,36,3
1150,Erasmus University,0,15.5,19.6,6.2,31.5,3
1151,Florida State University,0,0,21,22,39,1
1152,Iowa State University,0,0,23.4,12.2,44,1
1153,Joseph Fourier University (Grenoble 1),0,15.5,10.5,16,33.6,3
1154,Kyushu University,0,0,14.8,17.1,51.1,1
1155,Mount Sinai School of Medicine,0,0,19.6,16,34.5,1
1156,National Autonomous University of Mexico,15.6,0,7.4,14.3,48.5,3
1157,National Taiwan University,14.4,0,7.4,10,55.6,3
1158,Oregon Health and Science University,0,0,19.6,19,35.7,1
1159,"Queen Mary, U. of London",22.8,0,14.8,13,29.6,3
1160,Radboud University Nijmegen,0,0,10.5,21.4,40.6,3
1161,Seoul National University,0,0,7.4,13.5,61.4,3
1162,State University of New York at Stony Brook,0,0,18.2,26.8,38.4,1
1163,Technical University of Denmark,8.3,12.6,16.6,13,30.4,3
1164,The University of Adelaide,18.6,0,10.5,13.7,35.5,3
1165,The University of Alabama at Birmingham,0,0,16.6,14.8,43.3,1
1166,The University of Connecticut - Storrs,14.4,0,16.6,13.7,38.1,1
1167,The University of Texas Health Science Center at Houston,0,15.5,16.6,19,29.2,1
1168,The University of Texas M. D. Anderson Cancer Center,0,0,22.2,11.3,41.8,1
1169,Tsinghua University,13.2,0,0,11.6,56.3,3
1170,University of Barcelona,0,0,7.4,14.9,47.5,3
1171,University of Bern,15.6,0,10.5,22.4,36.8,1
1172,University of Buenos Aires,20.4,25.3,0,7.8,35.7,3
1173,University of Cincinnati,0,0,23.4,11.4,44.2,1
1174,University of Delaware,13.2,0,21,12.8,34.2,1
1175,University of Durham,0,0,18.2,17.5,34.7,1
1176,University of East Anglia,16.6,0,16.6,20.4,26.4,1
1177,University of Kiel,14.4,15.5,10.5,11.9,32.6,3
1178,University of Koeln,0,12.6,7.4,21,38.4,3
1179,University of Leicester,0,0,19.6,17.9,32.5,1
1180,University of Mainz,0,8.2,14.8,19.2,37.1,1
1181,"University of Maryland, Baltimore",0,0,19.6,14.6,38.1,1
1182,University of Miami,0,0,24.6,16.6,40.6,1
1183,University of Montreal,14.4,0,12.8,11.9,49.5,3
1184,University of Nebraska - Lincoln,22,0,16.6,12.1,36,3
1185,University of New South Wales,0,0,19.6,11.7,48.3,1
1186,University of Padua,0,0,12.8,18.3,47.5,3
1187,University of Paris Descartes (Paris 5),15.1,12,10.5,13.4,32.5,3
1188,University of Southampton,0,0,19.6,14.6,42.4,1
1189,University of St Andrews,13.2,0,7.4,24.7,28.8,3
1190,University of Tennessee - Knoxville,13.2,0,19.6,18.1,40.4,1
1191,University of Turin,20.4,0,10.5,12.8,37.8,3
1192,University of Vienna,19.5,0,7.4,22.3,36.4,3
1193,University of Wageningen,0,0,27.7,14.7,37,1
1194,University of Waterloo,0,0,19.6,11.3,40.6,1
1195,Virginia Commonwealth University,13.2,14.1,18.2,7,33.7,3
1196,Virginia Polytechnic Institute and State University,14.4,0,22.2,13.3,40.1,1
1197,VU University Amsterdam,0,0,22.2,13.9,43.5,1
1198,Autonomous University of Madrid,0,0,12.8,9.7,36.2,3
1199,Ben-Gurion University of the Negev,0,0,7.4,11.5,36.5,3
1200,Brandeis University,23.5,0,7.4,22.2,20.5,3
1201,Chalmers University of Technology,0,0,16.6,11.3,28.1,3
1202,Charles University in Prague,14.4,0,0,11.3,37.1,3
1203,City University of Hong Kong,0,0,10.5,7,36.1,3
1204,City University of New York City College,37.2,0,10.5,8.8,17.9,3
1205,Claude Bernard University Lyon 1,14.4,0,0,13.7,37.7,3
1206,Complutense University of Madrid,18.6,0,0,10.5,40.1,3
1207,Dalhousie University,0,0,14.8,18.4,34.4,1
1208,Ecole Polytechnique,21.2,0,7.4,14.4,29.6,3
1209,George Mason University,0,32.2,10.5,1.6,25.6,3
1210,Georgetown University,0,0,10.5,9.8,33.4,3
1211,Hiroshima University,0,0,7.4,9.6,38.3,3
1212,Keio University,0,0,10.5,11.7,34.4,3
1213,Kobe University,0,0,12.8,13.2,33,3
1214,Korea Advanced Institute of Science and Technology,0,0,0,12.5,39.4,3
1215,Lancaster University,0,0,16.6,10.8,28.3,3
1216,Laval University,0,0,16.6,9.8,37.4,3
1217,London School of Hygiene and Tropical Medicine,10.2,0,0,10.7,28.3,3
1218,Louisiana State University - Baton Rouge,0,0,16.6,11.9,38,3
1219,Macquarie University,0,0,12.8,16.4,24.9,3
1220,Medical University of Vienna,13.2,15.5,7.4,6.4,31.1,3
1221,Monash University,0,0,7.4,15.5,44,3
1222,Nanjing University,0,0,0,12,46.2,3
1223,National and Kapodistrian University of Athens,0,0,10.5,5.6,41.3,3
1224,Newcastle University,0,0,10.5,15.6,38,3
1225,Norwegian University of Science and Technology,17.6,0,10.5,16.4,32.9,3
1226,Paul Sabatier University (Toulouse 3),0,6.3,0,17.2,32.9,3
1227,Peking University,0,0,0,11.4,54.4,3
1228,Polytechnic Institute of Milan,10.2,15.5,0,8.1,27.7,3
1229,Queen's University,0,0,16.6,17.1,35.4,1
1230,Queen's University,22,0,0,12.8,31,3
1231,Rensselaer Polytechnic Institute,15.6,0,18.2,13.1,27.1,1
1232,Royal Institute of Technology,0,15.5,0,8.1,36.5,3
1233,RWTH Aachen University,5.9,0,7.4,7.7,38.8,3
1234,Shanghai Jiao Tong University,0,0,0,8.8,49.4,3
1235,State University of Campinas,0,0,7.4,4.1,42,3
1236,State University of New York at Albany,0,0,21,6,28.9,3
1237,State University of New York at Buffalo,0,0,16.6,10,36.6,3
1238,Swedish University of Agricultural Sciences,0,0,12.8,17.4,28.3,3
1239,Syracuse University,0,0,16.6,15,26,1
1240,Technical University of Berlin,22,0,12.8,6.2,27,3
1241,The Chinese University of Hong Kong,0,0,14.8,4,42,3
1242,The George Washington University,14.4,0,10.5,12.3,32.7,3
1243,The Hong Kong University of Science and Technology,0,0,16.6,2.7,33.6,3
1244,The University of Auckland,16.6,0,10.5,14.2,36.1,3
1245,The University of Calgary,0,0,10.5,12.6,43.3,3
1246,The University of Dundee,0,0,14.8,15.4,26.5,3
1247,The University of Hong Kong,0,0,12.8,11.1,43.9,3
1248,The University of New Mexico - Albuquerque,0,0,10.5,18.3,36.8,3
1249,The University of Reading,0,0,14.8,19.7,29.2,1
1250,The University of Texas Health Science Center at San Antonio,0,0,22.2,8.7,29.2,1
1251,The University of Texas Medical Branch at Galveston,0,0,18.2,9.3,29.6,3
1252,Trinity College Dublin,14.4,14.1,7.4,9.6,27.1,3
1253,Umea University,0,0,14.8,14.3,32.9,3
1254,University of Aberdeen,0,0,12.8,16,33.9,3
1255,University of Alaska - Fairbanks,0,0,14.8,16.9,20.3,1
1256,University of Antwerp,0,0,12.8,14.3,32.8,3
1257,University of Bath,0,0,10.5,18.5,28.4,3
1258,University of Bochum,0,0,12.8,16.4,37.8,3
1259,University of Bologna,0,0,12.8,10,46.9,3
1260,University of Cape Town,23.5,0,10.5,12.7,32.4,3
1261,University of Colorado Health Science Center,0,0,16.6,17.3,35.4,1
1262,University of Erlangen-Nuremberg,0,0,16.6,11.3,40.6,3
1263,University of Florence,0,0,16.6,13.9,38,1
1264,University of Gothenburg,0,15.5,0,15.2,38.3,3
1265,University of Guelph,0,0,16.6,12.4,33.9,3
1266,University of Halle-Wittenberg,5.9,8.9,7.4,7.7,29,3
1267,University of Houston,0,0,21,10.8,33.5,1
1268,University of Kansas - Lawrence,14.4,0,12.8,16.7,32.3,3
1269,University of Karlsruhe,5.9,0,10.5,12.8,30.8,3
1270,University of Kentucky,13.2,0,7.4,11.9,42.6,3
1271,University of Lausanne,0,0,12.8,18.1,28.1,3
1272,University of Leipzig,16.6,15.5,0,9.8,36.2,3
1273,University of Liege,10.2,0,10.5,11,29.6,3
1274,University of Manitoba,0,0,16.6,8.4,33.4,3
1275,University of Marburg,16.6,0,14.8,10.9,31.4,3
1276,University of Medicine and Dentistry New Jersey,0,0,23.4,12.1,34.1,1
1277,University of Missouri - Columbia,11.8,0,7.4,15,41,3
1278,University of Montpellier 2,13.2,0,12.8,17.3,31.3,3
1279,University of Notre Dame,15.6,0,10.5,16.6,31,3
1280,University of Oregon,13.2,0,10.5,20.6,26.7,3
1281,University of Ottawa,0,0,7.4,12.8,38.9,3
1282,University of Saskatchewan,11.8,0,16.6,5.7,33.1,3
1283,University of Science and Technology of China,0,0,0,9.5,44.2,3
1284,University of South Carolina - Columbia,0,0,16.6,14.2,34.5,1
1285,University of South Florida,0,0,14.8,9.6,36.4,3
1286,University of Southern Denmark,0,0,14.8,14.3,29.2,3
1287,University of the Mediterranean (Aix-Marseille 2),0,0,14.8,17.7,26.1,1
1288,University of Valencia,0,0,7.4,8.2,38.7,3
1289,University of Vermont,16.6,0,14.8,10.9,29.3,3
1290,University of Victoria,0,0,12.8,14.5,30.4,3
1291,University of Warwick,0,0,12.8,13.6,34.2,3
1292,University of York,0,0,14.8,13.7,33.4,3
1293,Wake Forest University,0,0,10.5,10.9,33.2,3
1294,Washington State University - Pullman,0,0,21,13.7,32.2,1
1295,Wayne State University,0,0,7.4,9,39.8,3
1296,Western University,0,0,10.5,14.7,42.4,3
1297,Yeshiva University,0,0,12.8,20.3,34.8,1
1298,Yonsei University,0,0,7.4,10.5,43.6,3
1299,Zhejiang University,0,0,0,5.7,56.3,3
1300,Aristotle University of Thessaloniki,0,0,7.4,2,36.9,3
1301,Auburn University,0,0,7.4,5.9,29.7,3
1302,Autonomous University of Barcelona,0,0,0,4.5,38.2,3
1303,Bar-Ilan University,0,0,12.8,9.5,28.4,3
1304,Brigham Young University,11.8,0,10.5,4.1,25.3,3
1305,Carleton University,0,0,12.8,4.9,25.8,3
1306,Clemson University,0,0,12.8,7.7,28.3,3
1307,Technical University Darmstadt,10.2,0,7.4,8.2,28.5,3
1308,Dresden University of Technology,0,0,7.4,7.9,34.2,3
1309,Ecole National Superieure Mines - Paris,17.6,25.3,0,3.5,10.2,3
1310,Eindhoven University of Technology,0,0,0,9.8,31.9,3
1311,Eotvos Lorand University,18.6,0,0,12,23.2,3
1312,Federal University of Rio de Janeiro,0,0,0,10.3,37.6,3
1313,Flinders University,18.6,0,7.4,6.2,22.6,3
1314,Fudan University,0,0,0,7.6,44.9,3
1315,Henri Poincare University (Nancy 1),14.4,18.9,0,2.2,24.6,3
1316,Indian Institute of Science,0,0,12.8,8.7,32.5,3
1317,Indian Institute of Technology Kharagpur,0,0,10.5,4.9,28.3,3
1318,Indiana University-Purdue University at Indianapolis,0,0,0,7.6,38.3,3
1319,Industrial Physics and Chemistry Higher Educational Institution - Paris,10.2,18.9,0,11,17.2,3
1320,Jagiellonian University,13.2,0,7.4,2.9,31.5,3
1321,Jilin University,0,0,0,6.2,37.7,3
1322,Kanazawa University,0,0,10.5,4.8,28.6,3
1323,Kansas State University,0,0,14.8,10.3,29.9,3
1324,Korea University,0,0,0,1.6,40.5,3
1325,Massey University,0,0,10.5,7.3,25.4,3
1326,Medical College of Wisconsin,0,0,7.4,6,28.7,3
1327,Medical University of South Carolina,0,0,14.8,5.7,30.5,3
1328,Nanyang Technological University,0,0,0,3.3,43.6,3
1329,National Cheng Kung University,0,0,0,1.6,42.6,3
1330,National Chiao Tung University,0,0,7.4,4.9,36,3
1331,National Tsing Hua University,15.6,0,0,7.4,35,3
1332,Niigata University,0,0,12.8,7,28.8,3
1333,Okayama University,0,0,7.4,11.4,34.1,3
1334,Pohang University of Science and Technology,0,0,7.4,7.9,27.8,3
1335,Polytechnic University of Valencia,0,0,7.4,9.8,26.2,3
1336,"Royal Holloway, U. of London",0,0,7.4,12.8,19.7,3
1337,Saint Louis University,0,12.6,7.4,2.7,24.5,3
1338,Saint Petersburg State University,28.8,0,0,6.2,28.9,3
1339,San Diego State University,0,0,12.8,8.6,25.5,3
1340,Scuola Normale Superiore - Pisa,0,0,10.5,6.5,16.7,3
1341,Simon Fraser University,0,0,10.5,10.9,31.8,3
1342,State University of New York Health Science Center at Brooklyn,0,15.5,10.5,7.3,15.9,3
1343,Sungkyunkwan University,0,0,0,6.2,38,3
1344,Technical University of Braunschweig,15.6,0,7.4,6.3,23.3,3
1345,Temple University,0,0,14.8,1.6,29.2,3
1346,Texas Tech University,0,0,10.5,7.9,30.4,3
1347,The Open University,0,0,12.8,17.2,22.8,3
1348,The University of Montana - Missoula,8.3,0,10.5,14.3,18,3
1349,The University of Texas at Dallas,0,0,10.5,10,23.3,3
1350,Thomas Jefferson University,0,0,14.8,10.5,29.1,3
1351,Tokyo Medical and Dental University,0,0,7.4,8.2,25.4,3
1352,Tulane University,0,0,14.8,7.2,28.1,3
1353,University College Dublin,0,0,7.4,7.2,29.2,3
1354,University of Arkansas at Fayetteville,0,0,10.5,7.9,25.8,3
1355,University of Bayreuth,0,0,7.4,13.6,22.9,3
1356,University of Bergen,0,0,0,15.5,35.3,3
1357,University of Bielefeld,0,0,14.8,11.2,24.8,3
1358,University of Bordeaux 1,8.3,0,12.8,9.4,27.6,3
1359,University of Central Florida,0,0,16.6,4,30,3
1360,University of Duesseldorf,0,0,10.5,9.5,32.8,3
1361,University of Duisburg-Essen,0,0,7.4,8.5,29.1,3
1362,University of Essex,16.6,0,7.4,7.7,20.5,3
1363,University of Exeter,0,0,0,15.5,26.6,3
1364,University of Genova,0,0,14.8,4.1,33.1,3
1365,University of Giessen,0,0,7.4,4.8,30.8,3
1366,University of Graz,11.8,12.6,0,7.5,19.4,3
1367,University of Greifswald,0,8.9,7.4,7.1,23.3,3
1368,University of Innsbruck,0,10.9,0,19.7,23.5,3
1369,University of Jena,0,0,0,11.3,33.5,3
1370,University of Konstanz,0,0,10.5,11.3,22.7,3
1371,University of Maastricht,0,0,7.4,4.9,34,3
1372,University of Naples Federico II,0,0,7.4,4.3,41.4,3
1373,University of Nevada - Reno,0,0,7.4,14.6,25,3
1374,University of New Hampshire - Durham,0,0,14.8,13.4,23.5,3
1375,University of Newcastle,0,0,12.8,7.5,24.9,3
1376,University of Oklahoma - Norman,0,0,7.4,12.4,28.5,3
1377,University of Otago,0,0,10.5,8.7,31.6,3
1378,University of Oulu,0,0,7.4,7.2,28.5,3
1379,University of Palermo,0,0,12.8,7,27.1,3
1380,University of Paris Dauphine (Paris 9),0,26.8,7.4,0,10.5,3
1381,University of Pavia,0,0,7.4,10.5,29.8,3
1382,University of Perugia,0,0,7.4,8.7,28.3,3
1383,University of Provence (Aix-Marseille 1),8.3,0,7.4,9.3,22.9,3
1384,University of Regensburg,0,0,7.4,11.9,30.6,3
1385,University of Rhode Island,0,0,19.6,11.7,19.9,1
1386,University of Stuttgart,16.6,0,7.4,6.4,29.8,3
1387,University of Szeged,0,15.5,7.4,9.8,23.2,3
1388,University of the Witwatersrand,23.5,0,0,10.9,26.2,3
1389,University of Turku,0,0,10.5,11.2,32.9,3
1390,University of Twente,0,0,10.5,10.7,27.5,3
1391,University of Ulm,0,0,7.4,10.6,31.2,3
1392,University of Warsaw,16.6,0,0,3.6,32.7,3
1393,Utah State University,0,0,7.4,12.1,23.9,3
1394,Vrije University Brussel,16.6,0,0,10,26.7,3
1395,Waseda University,0,0,12.8,8.4,28.2,3
1396,Yamaguchi University,0,0,14.8,5.4,23,3
1397,Aalto University,0,0,0,10.5,28.7,3
1398,"Birkbeck, University of London",0,0,7.4,5.2,18.7,3
1399,Boston College,0,0,7.4,7.8,22.6,3
1400,Brunel University,0,0,10.5,0,23.6,3
1401,Cairo University,24.3,0,0,0,22.9,3
1402,Catholic University of Chile,0,0,7.4,7.8,24.1,3
1403,Chiba University,0,0,0,6.2,33.3,3
1404,China Agricultural University,0,0,0,7.4,29,3
1405,Drexel University,0,0,0,9.4,29,3
1406,Ecole Normale Superieure - Lyon,0,0,7.4,10.1,19.8,3
1407,Ehime University,0,0,7.4,8.8,22.4,3
1408,Federal University of Minas Gerais,0,0,0,6.8,30.9,3
1409,Florida International University,0,0,7.4,6.4,25.1,3
1410,Gifu University,0,0,7.4,6.1,24.9,3
1411,Gunma University,0,0,7.4,7.3,24.3,3
1412,Hannover Medical School,0,0,0,8.4,29.1,3
1413,Hanyang University,0,0,0,2.2,35,3
1414,Howard University,14.4,0,7.4,5.9,16.9,3
1415,International School for Advanced Studies,0,0,0,9.9,18.1,3
1416,Istanbul University,16.6,0,0,1.6,30.5,3
1417,James Cook University,0,0,0,13,21,3
1418,Juntendo University,0,0,10.5,5.2,20.6,3
1419,Kagoshima University,0,0,10.5,6.4,22.9,3
1420,Kumamoto University,0,0,0,8.4,26.3,3
1421,La Trobe University,0,0,7.4,9.8,23,3
1422,Lanzhou University,0,0,0,3.5,30.9,3
1423,Lehigh University,0,0,10.5,4.1,20.6,3
1424,Linkoping University,0,0,7.4,2.7,30.3,3
1425,Medical College of Georgia,0,0,7.4,7.5,22.5,3
1426,Medical University of Graz,0,10.9,7.4,3.8,18.8,3
1427,Medical University of Innsbruck,0,0,12.8,5.7,23.8,3
1428,Michigan Technological University,11.8,0,10.5,5.9,17.1,3
1429,Mississippi State University,0,0,7.4,6.5,24.8,3
1430,Montana State University - Bozeman,0,0,7.4,7,21.5,3
1431,Murdoch University,0,0,10.5,4.1,18.2,3
1432,Nagasaki University,0,0,10.5,4.3,25.4,3
1433,Nankai University,0,0,0,0,35.1,3
1434,Nara Institute of Science and Technology,0,0,10.5,8.9,17.4,3
1435,National Central University,0,0,0,7,26.8,3
1436,National Yang Ming University,0,0,0,5.8,27.7,3
1437,New Mexico State University,0,0,7.4,8.5,20.1,3
1438,Nihon University,0,0,7.4,4.9,28.5,3
1439,Northeastern University,0,0,7.4,6.9,24.5,3
1440,Old Dominion University,0,0,10.5,7,18,3
1441,Osaka City University,0,0,7.4,5.5,27,3
1442,Osaka Prefecture University,0,0,10.5,6.1,24,3
1443,Polytechnic University of Turin,0,0,12.8,1.6,24.4,3
1444,Pusan National University,0,0,0,6.7,28.5,3
1445,Saarland University,0,0,0,9.6,27.6,3
1446,Sao Paulo State University,0,0,0,2.2,34.9,3
1447,Shandong University,0,0,0,2.2,36.7,3
1448,Southern Methodist University,14.4,0,7.4,5.2,18.5,3
1449,Sun Yat-sen University,0,0,0,2.9,34.5,3
1450,Swansea Univ,0,0,7.4,7.3,22.7,3
1451,The College of  William and Mary,0,0,7.4,8.2,20.3,3
1452,The Hong Kong Polytechnic University,0,0,0,1.6,38.2,3
1453,The University of Akron,0,0,10.5,7,21.2,3
1454,The University of Connecticut Health Center,0,0,7.4,13.1,19.9,3
1455,The University of Memphis,0,0,7.4,9.3,19.3,3
1456,The University of Tokushima,0,0,10.5,2.9,26,3
1457,Tianjin University,0,0,0,0,36.1,3
1458,Tokyo Metropolitan University,0,0,7.4,10.3,22,3
1459,Tokyo University of Agriculture and Technology,0,0,7.4,6.9,23.1,3
1460,University College Cork,0,0,14.8,0,23,3
1461,University of Bremen,0,0,0,16.3,24.6,3
1462,University of Cagliari,0,0,10.5,7,23.3,3
1463,University of Canterbury,0,0,7.4,5.6,24.2,3
1464,University of Chile,10.2,0,0,6,30.6,3
1465,University of Ferrara,0,0,7.4,3.3,25.9,3
1466,University of Fribourg,0,0,10.5,10.3,15.7,3
1467,University of Granada,0,0,0,5.7,31.8,3
1468,University of Haifa,0,0,7.4,3.8,24.8,3
1469,University of Hannover,0,0,7.4,6.1,25.6,3
1470,University of Idaho,0,0,7.4,7.4,21.9,3
1471,University of Jyvaskyla,0,0,7.4,6.2,22.8,3
1472,University of Kansas Medical Center,0,0,12.8,5.2,19.7,3
1473,University of KwaZulu-Natal,0,0,7.4,11,22.9,3
1474,University of Lille 1,0,0,7.4,8.9,20.3,3
1475,University of Lisbon,0,8.9,0,4.1,24.5,3
1476,University of Ljubljana,0,0,0,3.8,32.3,3
1477,University of Louisville,0,0,0,4.4,30.7,3
1478,University of Maine,0,0,7.4,10.8,19.2,3
1479,"University of Maryland, Baltimore",0,0,12.8,7,20.1,3
1480,University of Nebraska Medical Center,0,0,14.8,7,21,3
1481,University of New England,0,0,7.4,9.8,17.2,3
1482,University of Nice Sophia Antipolis,0,0,7.4,11.9,20,3
1483,University of Porto,0,0,0,4.5,31,3
1484,University of Pretoria,0,0,0,9.6,26.5,3
1485,University of Quebec,0,0,0,7,32.2,3
1486,University of Rennes 1,0,0,7.4,7.5,26.7,3
1487,University of Roma - Tor Vergata,0,0,0,6.7,32.5,3
1488,University of Rostock,0,0,7.4,6,27.1,3
1489,University of Sevilla,0,0,0,10,29.3,3
1490,University of Sherbrooke,0,0,7.4,8.3,23,3
1491,University of Siena,0,0,0,7.9,26.6,3
1492,University of Strathclyde,0,0,0,5,28,3
1493,University of Surrey,0,0,7.4,1.6,27.5,3
1494,University of Tasmania,0,0,7.4,7,23.3,3
1495,University of Tromso,0,0,10.5,7.3,21.8,3
1496,University of Wisconsin - Milwaukee,13.2,0,0,5.4,24.8,3
1497,University of Wollongong,0,0,0,8.7,23.8,3
1498,University of Wyoming,0,0,7.4,10.3,22.9,3
1499,University of Zaragoza,0,0,7.4,4.3,28.1,3
1500,Victor Segalen Bordeaux 2 University,0,0,7.4,9.2,22.3,3
1501,Victoria University of Wellington,14.4,0,0,9.4,21.4,3
1502,Vienna University of Technology,0,0,0,13.9,26.2,3
1503,West Virginia University,0,0,0,7.5,28.4,3
1504,York University,0,0,0,7.8,27.4,3
1505,Harvard University,100,100,100,100,100,2
1506,Stanford University,40,78.7,86.6,68.9,71.6,2
1507,"University of California, Berkeley",69,77.1,68.8,70.6,70,2
1508,University of Cambridge,90.3,91.5,53.6,56,64.1,2
1509,Massachusetts Institute of Technology (MIT),71,80.6,65.6,68.7,61.6,2
1510,California Institute of Technology,52.8,69.1,57.4,66.1,49.7,2
1511,Columbia University,72.4,65.7,56.5,52.3,70.5,2
1512,Princeton University,59.3,80.4,61.9,40.5,44.8,2
1513,University of Chicago,67.4,81.9,50.5,39.5,51.9,2
1514,University of Oxford,59,57.9,48.4,52,66,2
1515,Yale University,48.5,43.6,57,55.7,62.4,2
1516,Cornell University,41.5,51.3,54.1,52.3,64.7,2
1517,"University of California, Los Angeles",24.4,42.8,57.4,48.9,75.7,2
1518,"University of California, San Diego",15.8,34,59.7,53,66.7,2
1519,University of Pennsylvania,31.7,34.4,58.3,41.3,69,2
1520,University of Washington,25.7,31.8,53.1,49.5,74.1,2
1521,University of Wisconsin - Madison,38.4,35.5,52.6,41.2,68.1,2
1522,"University of California, San Francisco",0,36.8,54.1,51.5,60.8,2
1523,The University of Tokyo,32.2,14.1,43.1,51.9,83.3,2
1524,The Johns Hopkins University,45.8,27.8,43.1,48.7,68.5,2
1525,University of Michigan - Ann Arbor,38.4,0,60.6,41.7,78.1,2
1526,University College London,31.2,32.2,38.6,44.3,65.8,2
1527,Kyoto University,35.4,33.4,38.6,35.8,70.6,2
1528,Swiss Federal Institute of Technology Zurich,35.9,36.3,36.1,38.1,53.6,2
1529,University of Toronto,25,19.3,38.6,37,79.8,2
1530,University of Illinois at Urbana-Champaign,37.1,36.6,43.8,36.1,60.3,2
1531,"The Imperial College of Science, Technology and Medicine",18.6,37.4,39.9,38.2,61.8,2
1532,"University of Minnesota, Twin Cities",32.2,16.3,50,34.8,67.5,2
1533,Washington University in St. Louis,22.4,26,38.6,43.2,56,2
1534,Northwestern University,19.4,18.9,46.7,32.8,58.7,2
1535,New York University,34.1,24.5,39.9,34.4,53.4,2
1536,Duke University,18.6,0,46.1,42.6,63.4,2
1537,Rockefeller University,20.2,58.6,29.2,42.2,22.3,2
1538,University of Colorado at Boulder,14.8,30.8,39.3,39.4,45.5,2
1539,University of British Columbia,18.6,18.9,31.8,31.9,65.8,1
1540,"University of California, Santa Barbara",0,35.3,41.9,34.9,43.2,2
1541,"University of Maryland, College Park",23.1,20,40.6,30.4,53.1,2
1542,University of North Carolina at Chapel Hill,11.2,16.3,37.9,28.8,62,1
1543,The University of Texas at Austin,19.4,16.7,46.1,26.7,54.2,2
1544,The University of Manchester,24.4,18.9,28.2,28.3,60.5,1
