,lon,lat
1,-112.0740373,33.4483771
2,-112.0740373,33.4483771
3,-1.345968,53.723466
4,-84.4540213,11.6932207
5,-0.137163,50.82253
6,-77.071424,39.027662
7,-102.552784,23.634501
8,-112.0318412,41.1398683
9,-96.7219034,17.0686305
10,-122.6730556,45.5223418
11,-46.659167,-23.654167
12,-74.0059413,40.7127837
13,106.822745,-6.1744651
14,-118.2436849,34.0522342
15,-75.1652215,39.9525839
16,-60.6505388,-32.9442426
17,-71.3824374,42.4072107
18,-85.3232139,51.253775
19,-81.3792365,28.5383355
20,-48.374721,-1.3642722
21,-118.2436849,34.0522342
22,-1.304734,50.6938479
23,112.7520883,-7.2574719
24,-74.0059413,40.7127837
25,45.079162,23.885942
26,-74.0059413,40.7127837
27,-118.5214282,34.1517492
28,-2.1113659,53.5409298
29,-83.6324022,32.8406946
30,-114.0708459,51.0486151
31,-82.6392899,30.1896756
32,-100.8153539,20.5699064
33,-102.552784,23.634501
34,-118.4694832,33.9850469
35,-95.712891,37.09024
36,-118.2436849,34.0522342
37,-79.9958864,40.4406248
38,-49.267137,-25.4289541
39,-87.6297982,41.8781136
40,-123.0682842,49.2510631
41,0.121817,52.205337
42,-51.92528,-14.235004
43,-71.0588801,42.3600825
44,12.5683371,55.6760968
45,-99.133208,19.4326077
46,136.6244847,34.9651567
47,-66.1057355,18.4655394
48,-106.0200684,35.6328642
49,12.56738,41.87194
50,-73.7017858,42.5909135
51,115.66283,-2.2179704
52,-119.4179324,36.778261
53,-84.3879824,33.7489954
54,-74.0059413,40.7127837
55,-99.133208,19.4326077
56,-117.1610838,32.715738
57,-111.9260519,33.4941704
58,-76.4418868,41.6000752
59,-95.3010624,32.3512601
60,77.0266383,28.4594965
61,-79.0215336,-8.1090524
62,-95.712891,37.09024
63,-117.9992265,33.660297
64,-101.6088768,17.6627287
65,-83.0790865,42.8105356
66,-73.2006639,41.2428563
67,-71.0588801,42.3600825
68,144.9937739,-37.8491409
69,-46.6333094,-23.5505199
70,-73.9202391,41.6002842
71,-106.8654066,28.406359
72,-71.0588801,42.3600825
73,-91.20677,29.6993748
74,-80.782127,8.537981
75,-85.3096801,35.0456297
76,-84.2700179,37.8393332
77,-117.1521761,32.7230843
78,-74.0059413,40.7127837
79,-68.1220016,-38.8298111
80,-64.7782313,46.0878165
81,-95.712891,37.09024
82,-1.1743197,52.3555177
83,51.5310398,25.2854473
84,-78.7713316,38.4873902
85,-83.203689,39.721208
86,-73.9901119,40.7560866
87,-73.2936588,45.44889
88,21.824312,39.074208
89,-1.5490774,53.8007554
90,-66.590149,18.220833
91,14.375416,35.937496
92,-88.4470508,43.7730448
93,2.70162,48.404676
94,99.1966559,61.0137097
95,-0.1726065,51.4914925
96,76.9558321,11.0168445
97,-74.0059413,40.7127837
98,-87.1213953,35.9820074
99,21.0122287,52.2296756
100,-74.4056612,40.0583238
101,-3.435973,55.378051
102,18.643501,60.128161
103,-74.0059413,40.7127837
104,-71.4128343,41.8239891
105,-122.4194155,37.7749295
106,-122.3320708,47.6062095
107,31.0218404,-29.8586804
108,105.318756,61.52401
109,-43.2581953,-22.8923272
110,-81.6943605,41.49932
111,-120.5542012,43.8041334
112,-112.3576567,33.4353394
113,-74.0059413,40.7127837
114,-46.6333094,-23.5505199
115,-95.712891,37.09024
116,-81.0998342,32.0835407
117,-71.2511443,42.7795216
118,-96.3344068,30.627977
119,-90.5154508,14.5995887
120,-66.58973,6.42375
121,36.8219462,-1.2920659
122,-119.1770516,34.1975048
123,-17.4581088,14.7227238
124,-74.0059413,40.7127837
125,-76.6412712,39.0457549
126,-74.0059413,40.7127837
127,-80.2481666,43.5448048
128,138.252924,36.204824
129,54.3773438,24.453884
130,-88.89653,13.794185
131,-71.1211635,42.3317642
132,-105.8700901,34.5199402
133,-79.7919754,36.0726354
134,139.6917064,35.6894875
135,-65.9626213,18.3803255
136,-79.9223592,-2.1709979
137,4.747658,45.620885
138,-70.3975022,-23.6509279
139,8.2722569,50.4859255
140,-79.532157,43.8169837
141,9.9936818,53.5510846
142,-77.4724875,42.5542347
143,-117.1610838,32.715738
144,-48.4901968,-1.4557794
145,-95.712891,37.09024
146,-100.5247435,40.6269856
147,-65.9626213,18.3803255
148,14.4378005,50.0755381
149,15.7193616,50.9044171
150,1.604815,42.848524
151,-95.712891,37.09024
152,-0.1277583,51.5073509
153,-116.9719684,33.7475203
154,-75.0931123,40.9256446
155,108.1428669,3.9456514
156,-77.0230313,38.7073379
157,-97.7425816,30.2696401
158,-118.6614809,34.1367208
159,-70.6080131,-33.3974214
160,-87.4205903,41.2914243
161,-82.7350514,28.2143574
162,-94.361916,45.9670161
163,-73.9202391,41.6002842
164,11.690976,45.7623333
165,-0.552764,48.850993
166,-0.7594171,52.0406224
167,-99.9018131,31.9685988
168,-95.712891,37.09024
169,-56.0475751,-15.5640324
170,-84.2988126,33.8920468
171,-86.8688899,35.9250637
172,-118.2436849,34.0522342
173,-117.2919818,33.0369867
174,-78.183406,-1.831239
175,-92.2670941,34.769536
176,100.1177133,14.4744144
177,-121.8863286,37.3382082
178,106.6527099,-6.2023936
179,87.932682,25.783585
180,-73.0443904,-36.8201352
181,9.1859243,45.4654219
182,3.057256,50.62925
183,-79.4017448,43.6464312
184,-80.1436057,40.7882723
185,-82.3313955,28.8354507
186,-84.380956,33.9143169
187,-51.92528,-14.235004
188,32.5598994,15.5006544
189,-0.1277583,51.5073509
190,-87.6297982,41.8781136
191,-1.1743197,52.3555177
192,2.213749,46.227638
193,2.3522219,48.856614
194,4.835659,45.764043
195,-95.4183481,29.7351487
196,139.7148132,35.5620963
197,2.3522219,48.856614
198,-99.1591446,19.3794059
199,-42.370935,-19.3153414
200,-115.1466648,36.0971945
201,-98.4786269,28.967194
202,127.7,36.8
203,-9.3816589,38.8028687
204,-118.2436849,34.0522342
205,-122.159285,37.447978
206,-87.6297982,41.8781136
207,-86.3442107,34.3614336
208,-71.2519374,-29.9026691
209,-71.8022934,42.2625932
210,-111.980204,40.619161
211,-77.1945247,41.2033216
212,13.64157,51.01927
213,-74.0059413,40.7127837
214,-0.7888587,37.8321955
215,-43.1728965,-22.9068467
216,76.2710833,10.8505159
217,-71.4774291,41.5800945
218,4.966667,11.25
219,-8.224454,39.399872
220,18.0685808,59.3293235
221,-74.13799,40.781647
222,-80.8265627,27.2071351
223,-69.2168291,-51.6230485
224,-103.4067861,25.5428443
225,-58.4302476,-34.7611823
226,-51.92528,-14.235004
227,-115.1398296,36.1699412
228,-63.616672,-38.416097
229,-118.2436849,34.0522342
230,-111.9738304,41.223
231,-72.7420151,41.7620842
232,-122.4194155,37.7749295
233,-76.4730122,37.0870821
234,-74.0059413,40.7127837
235,-3.435973,55.378051
236,12.5683371,55.6760968
237,-71.0554052,42.3643104
238,-70.8967155,42.51954
239,-73.0443904,-36.8201352
240,-87.6297982,41.8781136
